objectid,name,yearpublished,sortindex,minplayers,maxplayers,minplaytime,maxplaytime,totalvotes,usersrated,boardgamemechanic,boardgamemechanic,boardgamemechanic,boardgamemechanic,boardgamemechanic,boardgamemechanic
27833,Steam,2009,155,3,5,90,90,119,9147,Auction/Bidding, Loans, Network and Route Building, Pick-up and Deliver, Tile Placement,NaN
9209,Ticket to Ride \u0633\u0643\u0629 \u0633\u0641\u0631,2004,156,2,5,30,60,819,64145,Card Drafting, Hand Management, Network and Route Building, Set Collection,NaN,NaN
128621,Viticulture,2013,157,2,6,90,90,123,9076,Hand Management, Turn Order: Progressive, Worker Placement,NaN,NaN,NaN
182631,Star Realms  Colony Wars,2015,158,2,2,20,20,33,4912,Card Drafting, Deck, Hand Management, Take That,NaN,NaN
12,Ra,1999,159,2,5,45,60,395,18125,Auction/Bidding, Auction: Once Around, Constrained Bidding, Push Your Luck, Set Collection,NaN
54998,Cyclades,2009,160,2,5,60,90,353,16355,Area Majority / Influence, Area Movement, Auction/Bidding, Card Drafting, Dice Rolling, Set Collection
822,Carcassonne,2000,161,2,5,30,45,1868,90370,Area Majority / Influence, Map Addition, Tile Placement,NaN,NaN,NaN
109276,Kanban  Driver's Edition,2014,162,2,4,90,120,103,4912,Action Points, Commodity Speculation, Variable Phase Order, Worker Placement,NaN,NaN
20551,Shogun,2006,163,3,5,90,120,240,12270,Action Queue, Area Majority / Influence, Area Movement, Auction/Bidding, Cube Tower, Simultaneous Action Selection
31481,Galaxy Trucker,2007,164,2,4,60,60,384,27021,Dice Rolling, Events, Real-Time, Relative Movement, Team-Based Game, Tile Placement
245638,Coimbra,2018,165,2,4,60,90,115,6162,Card Drafting, Dice Rolling, End Game Bonuses, Set Collection, Worker Placement with Dice Workers,NaN
220877,Rajas of the Ganges,2017,166,2,4,45,75,104,6619,Dice Rolling, Tile Placement, Worker Placement, Worker Placement with Dice Workers,NaN,NaN
7854,YINSH,2003,167,2,2,30,60,62,6703,Grid Movement, Pattern Building,NaN,NaN,NaN,NaN
192291,Sushi Go Party!,2016,168,2,8,20,20,137,16872,Card Drafting, Hand Management, Set Collection, Simultaneous Action Selection,NaN,NaN
285774,Marvel Champions  The Card Game,2019,169,1,4,45,90,132,2894,Cooperative Game, Solo / Solitaire Game, Variable Player Powers,NaN,NaN,NaN
421,1830  The Game of Railroads and Robber Barons,1986,170,2,7,180,360,104,4278,Auction/Bidding, Market, Network and Route Building, Ownership, Stock Holding, Tile Placement
156129,Deception  Murder in Hong Kong,2014,171,4,12,20,20,159,13172,Storytelling, Team-Based Game, Traitor Game,NaN,NaN,NaN
176494,Isle of Skye  From Chieftain to King,2015,172,2,5,30,50,291,17461,Auction/Bidding, Catch the Leader, Set Collection, Tile Placement,NaN,NaN
155873,Power Grid Deluxe  Europe\/North America,2014,173,2,6,120,120,41,3356,Auction: Turn Order Until Pass, Income, Market, Network and Route Building,NaN,NaN
140620,Lewis & Clark,2013,174,1,5,120,120,253,11612,Card Drafting, Deck, Hand Management, Point to Point Movement, Worker Placement,NaN
154203,Imperial Settlers,2014,175,1,4,45,90,392,18906,Card Drafting, Contracts, Drafting, Hand Management, Take That, Variable Player Powers
188834,Secret Hitler,2016,176,5,10,45,45,202,14048,Hidden Roles, Player Elimination, Team-Based Game, Traitor Game, Voting,NaN
19857,Glory to Rome,2005,177,2,5,60,60,245,12435,Follow, Hand Management, Set Collection, Variable Phase Order,NaN,NaN
24181,Imperial,2006,178,2,6,120,180,277,8040,Advantage Token, Area Majority / Influence, Area Movement, Investment, Ownership, Rondel
198994,Hero Realms,2016,179,2,4,20,30,106,9684,Card Drafting, Deck, Hand Management, Take That,NaN,NaN
