objectid,name,category1,category2,category3,category4,category5,category6
191189,Aeon's End,card, Fantasy, Fighting, Sci_Fi,error,error
2511,Sherlock Holmes Consulting Detective  The Thames Murders & Other Cases,Deduction, murder_mystery, Adaptation, Post-War, secret_agent,error
42,Tigris & Euphrates,Ancient, Civilization, Territory Building,error,error,error
102680,Trajan,Ancient, Political,error,error,error,error
236457,Architects of the West Kingdom,City Building, Medieval,error,error,error,error
200680,Agricola (Revised Edition),Animals, Economic, Farming,error,error,error
36218,Dominion,card, Medieval,error,error,error,error
30549,Pandemic,Medical,error,error,error,error,error
247763,Underwater Cities,card, City Building, Civilization, industry_manuf, War, Sci_Fi
170042,Raiders of the North Sea,Medieval, War,error,error,error,error
198928,Pandemic  Iberia,Medical,error,error,error,error,error
103885,Star Wars  X-Wing Miniatures Game,Aviation, Bluffing, Collectible, Miniatures, Adaptation, Sci_Fi
127023,Kemet,Ancient, Fighting, Miniatures, Mythology,error,error
146508,T.I.M.E Stories,Adventure, Adult, Puzzle, Sci_Fi,error,error
196340,Yokohama,Economic,error,error,error,error,error
150376,Dead of Winter  A Crossroads Game,Bluffing, Deduction, Horror, Zombies,error,error
182874,Grand Austria Hotel,Economic,error,error,error,error,error
34635,Stone Age,Dice, Prehistoric,error,error,error,error
175155,Forbidden Stars,Bluffing, Fighting, Miniatures, Sci_Fi, War,error
172287,Champions of Midgard,Adventure, Dice, Fantasy, Fighting, Medieval, Mythology
104162,Descent  Journeys in the Dark (Second Edition),Adventure, Exploration, Fantasy, Fighting, Miniatures,error
161970,Alchemists,Deduction, Fantasy,error,error,error,error
203993,Lorenzo il Magnifico,Renaissance,error,error,error,error,error
147020,Star Realms,card, Fighting, Sci_Fi,error,error,error
146652,Legendary Encounters  An Alien Deck Building Game,card, Fighting, Horror, Adaptation, Sci_Fi,error
9609,War of the Ring,Adventure, Fantasy, Miniatures, Adaptation, Territory Building, War
244521,The Quacks of Quedlinburg,Medieval,error,error,error,error,error
148949,Istanbul,Economic,error,error,error,error,error
155821,Inis,card, Miniatures, Mythology,error,error,error
103343,A Game of Thrones  The Board Game (Second Edition),Bluffing, Fantasy, Negotiation, Adaptation, Political, War
155426,Castles of Mad King Ludwig,Post-War, Puzzle,error,error,error,error
128882,The Resistance  Avalon,Bluffing, card, Deduction, Fantasy, Medieval, Negotiation
14996,Ticket to Ride  Europe,Trains,error,error,error,error,error
233371,Clank! In! Space!,Sci_Fi,error,error,error,error,error
43111,Chaos in the Old World,Fantasy, Fighting, Horror, Mythology, War,error
225694,Decrypto,Deduction, Party Game, Word Game,error,error,error
17133,Railways of the World,Trains, Transportation, Adaptation,error,error,error
239188,Chronicles of Crime,Adventure, Deduction, murder_mystery,error,error,error
70149,Ora et Labora,City Building, Economic, industry_manuf, Medieval, Religious, Territory Building
14105,Commands and Colors  Ancients,Ancient, War,error,error,error,error
221194,Dinosaur Island,Economic, Sci_Fi,error,error,error,error
233398,Endeavor  Age of Sail,Exploration, War, Renaissance,error,error,error
123260,Suburbia,City Building, Economic,error,error,error,error
