objectid,name,boardgamemechanic1,boardgamemechanic2,boardgamemechanic3,boardgamemechanic4,boardgamemechanic5,boardgamemechanic6
209685,Century  Spice Road,Action Retrieval, Card Drafting, Contracts, Deck, Hand Management, Increase Value of Unchosen Resources
37046,Ghost Stories,Cooperative Game, Dice Rolling, Grid Movement, Modular Board, Solo / Solitaire Game, Variable Player Powers
176920,Mission  Red Planet (Second Edition),Action Retrieval, Area Majority / Influence, Area Movement, Hand Management, Simultaneous Action Selection, Take That
46213,Telestrations,Line Drawing, Paper-and-Pencil,NaN,NaN,NaN,NaN
232832,Century  Golem Edition,Card Drafting, Deck, Hand Management, Set Collection,NaN,NaN
54,Tikal,Action Points, Area Majority / Influence, Auction/Bidding, Grid Movement, Hexagon Grid, Map Addition
143693,Glass Road,Card Drafting, Set Collection, Simultaneous Action Selection, Tile Placement, Variable Phase Order,NaN
39856,Dixit,Communication Limits, Simultaneous Action Selection, Storytelling, Targeted Clues, Voting,NaN
5,Acquire,Hand Management, Investment, Market, Ownership, Stock Holding, Tile Placement
182134,Evolution  Climate,Action Points, Hand Management, Push Your Luck, Secret Unit Deployment, Simulation, Take That
21241,Neuroshima Hex! 3.0,Hand Management, Hexagon Grid, Player Elimination, Tile Placement, Variable Player Powers,NaN
70919,Takenoko,Action Points, Dice Rolling, Grid Movement, Modular Board, Network and Route Building, Pattern Building
